,parent_cluster,cluster_id,cluster_lenght,occurence,method_list
89,0,"('DA', 'DB', 'RIR', 'SAB', 'VA', 'VB')",6,3,"[(23, 2.9), (18, 2.3), (18, 2.5)]"
90,0,"('AS', 'DA', 'DB', 'PDB', 'VA', 'VB')",6,1,"[(9, 1.9)]"
91,0,"('AS', 'DA', 'DB', 'SAB', 'VA', 'VB', 'VC')",7,5,"[(92, 1.3), (92, 2.7), (31, 2.4), (18, 1.6), (13, 2.3)]"
92,0,"('AS', 'DA', 'DB', 'PDB', 'SAB', 'VA', 'VB')",7,64,"[(92, 2.3), (46, 0.7), (46, 1.0), (31, 0.6), (31, 0.7), (31, 0.8), (31, 1.3), (31, 1.4), (31, 1.5), (31, 1.6), (31, 1.7), (31, 1.8), (31, 1.9), (31, 2.0), (31, 2.1), (31, 2.2), (31, 2.3), (31, 2.5), (31, 2.7), (23, 0.5), (23, 0.6), (23, 0.7), (23, 0.8), (23, 1.0), (18, 0.6), (18, 0.7), (18, 0.8), (18, 0.9), (18, 1.1), (18, 1.3), (18, 1.4), (18, 1.6), (18, 2.2), (18, 2.5), (15, 0.5), (15, 0.6), (15, 0.7), (15, 0.8), (15, 0.9), (15, 1.4), (13, 2.0), (13, 2.1), (13, 2.2), (13, 2.5), (13, 2.7), (12, 0.6), (12, 0.7), (12, 1.4), (12, 1.9), (10, 0.5), (10, 0.6), (10, 0.7), (10, 0.8), (10, 0.9), (10, 1.0), (10, 1.5), (10, 1.6), (8, 1.7), (8, 1.8), (8, 2.3), (8, 2.4), (8, 2.5), (8, 2.6), (8, 3.0)]"
93,0,"('AS', 'DA', 'DB', 'PDB', 'RIR', 'RMH', 'VA')",7,1,"[(92, 2.6)]"
94,0,"('DB', 'M2', 'PVC', 'RIG', 'VA', 'VB', 'VC')",7,1,"[(92, 2.9)]"
95,0,"('AS', 'AVB', 'DA', 'DB', 'SAB', 'VA', 'VB')",7,1,"[(46, 1.3)]"
96,0,"('AIN', 'AVB', 'DA', 'RIF', 'RIR', 'VA', 'VB')",7,1,"[(46, 2.9)]"
97,0,"('AS', 'DA', 'DB', 'RIR', 'SAB', 'VA', 'VB')",7,7,"[(46, 3.0), (23, 2.7), (18, 2.2), (18, 2.3), (18, 2.4), (10, 2.0), (10, 2.2)]"
98,0,"('AS', 'DA', 'DB', 'SAB', 'SDQ', 'VA', 'VB')",7,1,"[(31, 1.5)]"
99,0,"('DA', 'DB', 'RIV', 'SIA', 'SIB', 'SMB', 'URB')",7,1,"[(31, 3.0)]"
100,0,"('DA', 'DB', 'PDB', 'SAB', 'URA', 'VA', 'VB')",7,3,"[(23, 2.5), (23, 2.8), (23, 2.9)]"
101,0,"('AS', 'AVF', 'DA', 'DB', 'SAB', 'VA', 'VB')",7,1,"[(23, 2.9)]"
102,0,"('AS', 'DA', 'DB', 'PDB', 'SAB', 'URA', 'VA')",7,1,"[(18, 2.4)]"
103,0,"('DA', 'DB', 'PDB', 'RMH', 'SAB', 'VA', 'VB')",7,1,"[(10, 1.2)]"
104,0,"('DA', 'DB', 'PDB', 'RIR', 'RMH', 'SAB', 'VA')",7,1,"[(10, 2.2)]"
105,0,"('AS', 'DA', 'DB', 'DD', 'SAB', 'VA', 'VB')",7,1,"[(10, 2.6)]"
106,0,"('AS', 'AVE', 'DA', 'DB', 'SAB', 'VA', 'VB')",7,1,"[(10, 2.7)]"
107,0,"('AS', 'DA', 'DB', 'SAB', 'VA', 'VB', 'VD')",7,4,"[(8, 1.7), (8, 2.1), (8, 2.2), (8, 2.3)]"
108,0,"('AS', 'AVB', 'AVE', 'DA', 'DB', 'RIR', 'VA', 'VB')",8,1,"[(92, 1.2)]"
109,0,"('AS', 'DA', 'DB', 'PDB', 'SAB', 'SDQ', 'VA', 'VB')",8,2,"[(92, 1.3), (92, 1.7)]"
110,0,"('ALN', 'AVB', 'AVD', 'AVE', 'PVC', 'RIF', 'VA', 'VB')",8,5,"[(92, 2.0), (92, 2.5), (92, 2.7), (92, 2.8), (92, 2.9)]"
111,0,"('AIM', 'AUA', 'AVL', 'AVM', 'AWA', 'I3', 'MI', 'SDQ')",8,3,"[(92, 2.0), (92, 2.1), (92, 2.2)]"
112,0,"('AS', 'DA', 'DB', 'RIS', 'SAB', 'VA', 'VB', 'VC')",8,1,"[(92, 2.0)]"
113,0,"('AS', 'DA', 'DB', 'RIR', 'RMH', 'SAB', 'SMB', 'VA')",8,1,"[(92, 2.5)]"
114,0,"('AS', 'DA', 'DB', 'PDB', 'SAB', 'VA', 'VB', 'VC')",8,1,"[(92, 2.6)]"
115,0,"('AIN', 'AS', 'DA', 'DB', 'PDB', 'RMH', 'SAB', 'VA')",8,1,"[(46, 1.2)]"
116,0,"('AS', 'AVF', 'DA', 'DB', 'SAB', 'VA', 'VB', 'VC')",8,5,"[(46, 1.8), (46, 1.9), (31, 1.8), (10, 2.7), (10, 2.8)]"
117,0,"('AIN', 'AVB', 'I5', 'M2', 'RIF', 'RIR', 'VA', 'VB')",8,1,"[(46, 1.8)]"
118,0,"('AIN', 'AVB', 'PVPL', 'RIF', 'RIR', 'SDQ', 'VA', 'VB')",8,2,"[(46, 2.3), (46, 2.4)]"
119,0,"('AIZ', 'AVF', 'DD', 'I2', 'OLQ', 'RMH', 'URY', 'VC')",8,1,"[(31, 2.5)]"
120,0,"('AS', 'AVF', 'DA', 'RIR', 'SAB', 'VA', 'VB', 'VC')",8,1,"[(31, 2.6)]"
121,0,"('AS', 'DA', 'DB', 'PDB', 'SAB', 'URA', 'VA', 'VB')",8,2,"[(23, 1.5), (15, 2.5)]"
122,0,"('AS', 'DA', 'DB', 'PLN', 'RIR', 'SAB', 'VA', 'VB')",8,2,"[(23, 1.8), (23, 1.9)]"
123,0,"('AS', 'DA', 'DB', 'SAB', 'SIB', 'VA', 'VB', 'VD')",8,1,"[(23, 2.9)]"
124,0,"('AS', 'AVD', 'AVE', 'DA', 'DB', 'SAB', 'VA', 'VB')",8,3,"[(13, 2.1), (13, 2.2), (13, 2.5)]"
125,0,"('AS', 'DA', 'DB', 'SAB', 'VA', 'VB', 'VC', 'VD')",8,3,"[(13, 2.4), (13, 2.5), (13, 2.7)]"
126,0,"('AS', 'AVF', 'DA', 'DB', 'SAB', 'SDQ', 'VA', 'VB')",8,7,"[(12, 2.3), (12, 2.4), (12, 2.5), (12, 2.7), (12, 2.8), (12, 2.9), (12, 3.0)]"
127,0,"('PDB', 'RIF', 'RIP', 'RIR', 'RMH', 'SAB', 'VA', 'VB')",8,1,"[(12, 2.6)]"
128,0,"('DA', 'DB', 'PDB', 'RIR', 'RMH', 'SAB', 'VA', 'VB')",8,3,"[(10, 1.5), (10, 1.6), (9, 0.8)]"
129,0,"('DA', 'DB', 'PDB', 'RMH', 'SAB', 'URA', 'VA', 'VB')",8,1,"[(10, 2.9)]"
130,0,"('AS', 'AVB', 'DA', 'DB', 'SAB', 'VA', 'VB', 'VD')",8,1,"[(8, 1.5)]"
131,0,"('AS', 'DA', 'DB', 'PDB', 'RIV', 'SAB', 'VA', 'VB')",8,1,"[(8, 1.7)]"
132,0,"('AS', 'DA', 'DB', 'PDB', 'RMH', 'SAB', 'VA', 'VB')",8,2,"[(8, 2.7), (8, 2.9)]"
133,0,"('AIZ', 'AS', 'DA', 'DB', 'PVQ', 'RIS', 'SAB', 'VA', 'VB')",9,1,"[(92, 1.4)]"
134,0,"('AS', 'AVE', 'DA', 'DB', 'PDB', 'SAB', 'SDQ', 'VA', 'VB')",9,1,"[(92, 1.5)]"
135,0,"('AS', 'DA', 'DB', 'DD', 'PDB', 'SAB', 'VA', 'VB', 'VD')",9,4,"[(92, 1.7), (92, 1.8), (92, 2.1), (92, 2.9)]"
136,0,"('AS', 'AVE', 'DA', 'DB', 'PDB', 'SAB', 'URA', 'VA', 'VB')",9,1,"[(92, 2.5)]"
137,0,"('DA', 'DB', 'DD', 'PDB', 'SAB', 'VA', 'VB', 'VC', 'VD')",9,1,"[(92, 2.6)]"
138,0,"('AS', 'AVE', 'DA', 'DB', 'M2', 'SAB', 'URA', 'VA', 'VB')",9,1,"[(92, 3.0)]"
139,0,"('AS', 'AVA', 'AVB', 'AVE', 'DA', 'DB', 'SAB', 'VA', 'VB')",9,1,"[(46, 1.4)]"
140,0,"('AIA', 'AIN', 'AVB', 'RIF', 'RIH', 'RIR', 'RIS', 'RIV', 'RMH')",9,1,"[(46, 2.3)]"
