,parent_cluster,cluster_id,cluster_lenght,occurence,method_list
89,8.0,"('AIB', 'AIN', 'AVB', 'AVD', 'AVE', 'DB', 'PVC')",7,1,"[(31, 2.9)]"
90,8.0,"('AIB', 'AVB', 'AVD', 'AVE', 'PVC', 'RMD', 'RMG')",7,1,"[(23, 1.4)]"
91,8.0,"('AIB', 'AVB', 'AVD', 'AVE', 'M2', 'PVC', 'RMG')",7,3,"[(23, 1.7), (18, 1.5), (18, 1.6)]"
92,8.0,"('AIB', 'AVA', 'AVD', 'AVE', 'PVC', 'RIB', 'RIM')",7,1,"[(15, 1.8)]"
93,8.0,"('AIB', 'AIN', 'AVB', 'AVE', 'DB', 'NSML', 'PVC', 'RMG')",8,1,"[(46, 1.4)]"
94,8.0,"('AIB', 'AIN', 'AVB', 'AVD', 'AVE', 'AVG', 'DB', 'PVC')",8,2,"[(46, 2.0), (46, 2.2)]"
95,8.0,"('AIB', 'AVD', 'I4', 'IL2', 'M2', 'PLN', 'RID', 'RMG')",8,2,"[(31, 1.7), (31, 1.8)]"
96,8.0,"('AIB', 'AVA', 'AVB', 'AVD', 'AVE', 'AVG', 'PVC', 'RMG')",8,1,"[(31, 2.3)]"
97,8.0,"('AIB', 'AVB', 'AVD', 'AVE', 'AVG', 'PVC', 'RMD', 'RMG')",8,1,"[(23, 0.8)]"
98,8.0,"('AIB', 'AIZ', 'DB', 'LUAR', 'PVC', 'PVQ', 'RID', 'SAB')",8,1,"[(23, 1.9)]"
99,8.0,"('AIB', 'AIN', 'AVA', 'AVB', 'AVD', 'AVE', 'AVG', 'PVC')",8,1,"[(23, 2.6)]"
100,8.0,"('AIB', 'AVB', 'AVD', 'AVE', 'PVC', 'RIA', 'RIG', 'RMG')",8,1,"[(13, 2.3)]"
101,8.0,"('AIB', 'AIN', 'AVB', 'AVD', 'AVE', 'M2', 'RIG', 'RMG')",8,2,"[(13, 2.6), (13, 2.7)]"
102,8.0,"('AIB', 'AVB', 'AVD', 'AVE', 'AVG', 'DB', 'PVC', 'SAB')",8,1,"[(12, 1.9)]"
103,8.0,"('AIB', 'AVA', 'AVD', 'AVE', 'IL2', 'PVC', 'RMD', 'RMG')",8,1,"[(12, 2.2)]"
104,8.0,"('AVA', 'AVB', 'AVD', 'AVE', 'AVG', 'PVC', 'RMD', 'RMG')",8,1,"[(10, 1.9)]"
105,8.0,"('AIB', 'AVD', 'AVE', 'AVG', 'PVC', 'RID', 'RIG', 'RMG')",8,1,"[(9, 3.0)]"
106,8.0,"('AIB', 'AVB', 'AVD', 'AVE', 'RIA', 'RID', 'RIG', 'RMG')",8,2,"[(8, 2.3), (8, 2.4)]"
107,8.0,"('AIB', 'AVA', 'AVB', 'AVD', 'AVE', 'M1', 'RIA', 'RIG', 'RMD')",9,1,"[(46, 1.6)]"
108,8.0,"('AIB', 'AIN', 'AVA', 'AVB', 'AVD', 'AVE', 'AVG', 'PVC', 'RMG')",9,1,"[(31, 3.0)]"
109,8.0,"('AIA', 'AIB', 'AVA', 'AVB', 'AVD', 'AVE', 'AVG', 'LUAR', 'PVC')",9,1,"[(23, 0.9)]"
110,8.0,"('AIB', 'AIN', 'AVB', 'AVD', 'AVE', 'AVG', 'M2', 'PVC', 'RMG')",9,1,"[(23, 1.5)]"
111,8.0,"('AIB', 'AVB', 'AVD', 'AVE', 'AVG', 'PLN', 'PVC', 'RIM', 'RMG')",9,1,"[(18, 2.1)]"
112,8.0,"('AIA', 'AIB', 'AVB', 'AVD', 'AVE', 'AVG', 'DB', 'PVC', 'PVW')",9,7,"[(13, 1.4), (13, 1.5), (13, 1.6), (13, 1.7), (13, 1.8), (13, 1.9), (13, 2.0)]"
113,8.0,"('AIB', 'AIN', 'AVB', 'AVD', 'AVE', 'AVG', 'DB', 'PVC', 'RIM')",9,3,"[(12, 1.7), (12, 1.8), (12, 2.2)]"
114,8.0,"('AIB', 'AVA', 'AVB', 'AVD', 'AVE', 'AVG', 'I4', 'PVC', 'RMG')",9,2,"[(12, 1.9), (12, 2.0)]"
115,8.0,"('AIB', 'AVA', 'AVB', 'AVD', 'AVE', 'AVG', 'DB', 'PVC', 'RIM')",9,1,"[(10, 1.8)]"
116,8.0,"('AIB', 'AVA', 'AVB', 'AVD', 'AVE', 'AVG', 'PVC', 'RMD', 'RMG')",9,1,"[(9, 2.1)]"
117,8.0,"('AIA', 'AIB', 'AIN', 'AVB', 'AVD', 'AVE', 'AVG', 'PVC', 'RMH')",9,1,"[(8, 1.6)]"
118,8.0,"('AIB', 'AIN', 'AVA', 'AVB', 'AVD', 'AVE', 'AVG', 'LUAR', 'PVC', 'RMG')",10,50,"[(92, 0.1), (92, 0.2), (92, 0.3), (92, 0.4), (92, 0.5), (92, 0.6), (92, 0.7), (92, 0.8), (92, 0.9), (92, 1.9), (46, 0.1), (46, 0.2), (46, 0.3), (46, 0.4), (46, 0.5), (46, 0.6), (46, 0.7), (31, 0.1), (31, 0.2), (31, 0.3), (31, 0.4), (31, 0.5), (23, 0.1), (23, 0.2), (23, 0.3), (23, 0.4), (18, 0.1), (18, 0.2), (18, 0.3), (18, 0.4), (15, 0.1), (15, 0.2), (15, 0.3), (15, 0.4), (13, 0.1), (13, 0.2), (13, 0.3), (13, 0.4), (12, 0.1), (12, 0.2), (12, 0.3), (12, 0.4), (10, 0.1), (10, 0.2), (10, 0.3), (9, 0.1), (9, 0.2), (9, 0.3), (8, 0.1), (8, 0.2)]"
119,8.0,"('AIB', 'AVA', 'AVB', 'AVD', 'AVE', 'AVG', 'M1', 'PVC', 'RIA', 'RIG')",10,1,"[(46, 1.4)]"
120,8.0,"('AIB', 'AVB', 'AVD', 'AVE', 'AVG', 'I4', 'M2', 'PLN', 'RID', 'RMG')",10,1,"[(31, 2.3)]"
121,8.0,"('AIB', 'AIN', 'AVA', 'AVB', 'AVD', 'AVE', 'PVC', 'RIB', 'RMD', 'SMD')",10,1,"[(31, 2.6)]"
122,8.0,"('AIB', 'AIN', 'AVE', 'AVG', 'AVJ', 'LUAR', 'PVC', 'PVR', 'RIB', 'RME')",10,2,"[(23, 2.7), (23, 2.9)]"
123,8.0,"('AIB', 'AIN', 'AVA', 'AVB', 'AVD', 'AVE', 'AVG', 'DB', 'PVC', 'RIM')",10,2,"[(18, 1.3), (10, 1.7)]"
124,8.0,"('AIB', 'AIN', 'AVA', 'AVB', 'AVD', 'AVE', 'AVG', 'M2', 'PVC', 'RMG')",10,2,"[(15, 2.9), (15, 3.0)]"
125,8.0,"('AIB', 'AVA', 'AVB', 'AVD', 'AVE', 'AVG', 'DB', 'PVC', 'RIM', 'SAB')",10,1,"[(13, 1.7)]"
126,8.0,"('AIB', 'AIN', 'AVB', 'AVD', 'AVE', 'AVG', 'DB', 'PVC', 'RIM', 'SAB')",10,1,"[(13, 2.1)]"
127,8.0,"('AIB', 'AIN', 'AVB', 'AVD', 'AVE', 'AVG', 'DB', 'PVC', 'RIC', 'SAB')",10,1,"[(12, 1.3)]"
128,8.0,"('AIB', 'AIM', 'AIN', 'AVB', 'AVD', 'AVE', 'AVG', 'DB', 'PVC', 'SAB')",10,1,"[(12, 1.6)]"
129,8.0,"('AIB', 'AVB', 'AVD', 'AVE', 'AVG', 'PVC', 'RIA', 'RID', 'RIG', 'RMG')",10,7,"[(10, 2.6), (10, 2.7), (10, 2.8), (10, 2.9), (9, 2.7), (9, 2.8), (9, 2.9)]"
130,8.0,"('AIB', 'AVA', 'AVB', 'AVD', 'AVE', 'AVG', 'M2', 'PVC', 'RIA', 'RIG', 'RMG')",11,1,"[(46, 1.3)]"
131,8.0,"('AIB', 'AIN', 'AVD', 'AVE', 'AVG', 'PVC', 'RIB', 'RID', 'RIM', 'RME', 'SMD')",11,1,"[(46, 1.4)]"
132,8.0,"('AIB', 'AVD', 'AVE', 'AVG', 'AVH', 'LUAR', 'PVC', 'PVR', 'RIB', 'RME', 'SMD')",11,1,"[(46, 2.5)]"
133,8.0,"('AIB', 'AVA', 'AVB', 'AVD', 'AVE', 'AVG', 'PVC', 'RIA', 'RID', 'RIG', 'RMG')",11,1,"[(46, 2.7)]"
134,8.0,"('AIB', 'AVB', 'AVD', 'AVE', 'AVG', 'I4', 'M2', 'PLN', 'PVC', 'RID', 'RMG')",11,1,"[(31, 1.4)]"
135,8.0,"('AIB', 'AIN', 'AVA', 'AVB', 'AVD', 'AVE', 'AVG', 'PVC', 'RIM', 'RMD', 'RMG')",11,1,"[(31, 2.5)]"
136,8.0,"('AIB', 'AIN', 'AVA', 'AVB', 'AVD', 'AVE', 'AVG', 'DB', 'PVC', 'RIV', 'SAB')",11,1,"[(18, 2.9)]"
137,8.0,"('AIB', 'AVA', 'AVD', 'LUAR', 'PVC', 'PVW', 'RMG', 'SAB', 'SMD', 'URY', 'VC')",11,1,"[(13, 1.6)]"
138,8.0,"('AIB', 'AIN', 'AVA', 'AVB', 'AVD', 'AVE', 'AVG', 'DB', 'PVC', 'RIM', 'SAB')",11,1,"[(13, 1.8)]"
139,8.0,"('AIB', 'AVB', 'AVD', 'AVE', 'AVG', 'PLN', 'PVC', 'RIA', 'RID', 'RIG', 'RMG')",11,3,"[(13, 2.0), (12, 2.3), (9, 2.6)]"
140,8.0,"('AIB', 'AVA', 'AVB', 'AVD', 'AVE', 'AVG', 'DVA', 'LUAR', 'PVC', 'RIG', 'RMG')",11,1,"[(10, 1.6)]"
141,8.0,"('AIB', 'AIN', 'AIZ', 'AVE', 'AVG', 'DA', 'DB', 'LUAR', 'PVC', 'RIM', 'SAB')",11,1,"[(8, 3.0)]"
142,8.0,"('AIB', 'AVB', 'AVD', 'AVE', 'AVG', 'M2', 'PVC', 'RIA', 'RIG', 'RIS', 'RMD', 'RMG')",12,1,"[(31, 2.6)]"
143,8.0,"('AIB', 'AIN', 'AVA', 'AVB', 'AVD', 'AVE', 'AVG', 'DB', 'PVC', 'RIM', 'RMD', 'RMG')",12,1,"[(31, 2.6)]"
144,8.0,"('AIB', 'AIN', 'AVA', 'AVB', 'AVD', 'AVE', 'AVG', 'DB', 'PVC', 'RIG', 'RMD', 'RMG')",12,1,"[(23, 2.8)]"
145,8.0,"('AIB', 'AIN', 'AVA', 'AVB', 'AVD', 'AVE', 'PVC', 'RIB', 'RIC', 'RIM', 'RMG', 'SMD')",12,1,"[(23, 3.0)]"
